Month,Dollar
Jan-14,4379888.77
Feb-14,4543018.58
Mar-14,4445310.49
Apr-14,4548599.91
May-14,4627431.55
Jun-14,4712873.13
Jul-14,4823757.35
Aug-14,4798442.60
Sep-14,4785302.24
Oct-14,4814244.41
Nov-14,4770954.59
Dec-14,4800330.47
Jan-15,4878754.43
Feb-15,4830971.22
Mar-15,5157193.64
Apr-15,5234986.57
May-15,5331125.46
Jun-15,5337590.73
Jul-15,5296783.38
Aug-15,5316428.12
Sep-15,5303601.64
Oct-15,5334022.75
Nov-15,5316562.06
Dec-15,5312403.37
Jan-16,5301018.17
Feb-16,5283744.49
Mar-16,5353360.89
Apr-16,5382723.42
May-16,5400926.22
Jun-16,5450475.17
Jul-16,5557273.65
Aug-16,5664558.26
Sep-16,5733147.71
Oct-16,5782244.31
Nov-16,5808146.34
Dec-16,5809060.09
Jan-17,5924626.09
Feb-17,5982794.74
Mar-17,6104833.52
Apr-17,6178464.05
May-17,6257087.57
Jun-17,6346347.38
Jul-17,6460698.58
Aug-17,6416867.19
Sep-17,6490501.68
Oct-17,6929025.13
Nov-17,6484864.14
Dec-17,6484616.03
Jan-18,6715034.77
Feb-18,6716955.81
Mar-18,6680610.48
Apr-18,7024405.27
May-18,6726931.23
Jun-18,6715033.20
Jul-18,6728349.10
Aug-18,6721152.10
Sep-18,6763011.80
Oct-18,6729697.97
Nov-18,6696633.34
Dec-18,6715262.25
Jan-19,6786439.01
Feb-19,6800454.32
Mar-19,6879507.57
Apr-19,6989645.41
May-19,6922804.53
Jun-19,6955187.76
Jul-19,6954414.20
Aug-19,6843334.91
Sep-19,6884808.08
Oct-19,6914930.25
Nov-19,6908281.91
Dec-19,6884142.84
Jan-20,6957496.00
Feb-20,6923771.52
Mar-20,6875008.48
Apr-20,6910445.47
May-20,6915786.48
Jun-20,7057200.73
Jul-20,7355290.63
Aug-20,7711800.33
Sep-20,7649305.25
Oct-20,8402628.72
Nov-20,7344342.49
Dec-20,7311368.40
Jan-21,8670967.46
Feb-21,7649348.26
Mar-21,7508711.14
Apr-21,7469144.72
May-21,7528348.49
Jun-21,7865877.49
Jul-21,7482576.63
Aug-21,7457892.40
Sep-21,7480314.76
Oct-21,7480771.42
Nov-21,7471783.24
Dec-21,7414380.91
Jan-22,7508235.50
Feb-22,7544380.27
Mar-22,7577073.76
Apr-22,7536550.40
May-22,7490755.30
Jun-22,7585202.46
Jul-22,7532603.78
Aug-22,7461326.81
Sep-22,7379468.14
Oct-22,7274944.29
Nov-22,7376813.96
Dec-22,7468229.87
Jan-23,7650168.64
Feb-23,7567621.72
Mar-23,7660860.09
Apr-23,7627619.66
May-23,7576596.62
Jun-23,7594580.35
Jul-23,7576273.45
Aug-23,7608824.86
Sep-23,7585827.89
Oct-23,7558553.84
Nov-23,7597402.19
Dec-23,7623772.34
Jan-24,7601221.55
Feb-24,7583497.87
Mar-24,7633086.12
Apr-24,7674734.47
May-24,7694735.91
Jun-24,7709630.12
Jul-24,7725072.67
Aug-24,7738347.57
Sep-24,7810674.90
Oct-24,7839120.46
Nov-24,7770047.98
Dec-24,7839207.40
Jan-25,7940874.55
Feb-25,8109640.27
Mar-25,8238558.69
