日期,管制站,入境 / 出境,香港居民,內地訪客,其他訪客,總計
01-01-2021,機場,入境,341,0,9,350
01-01-2021,機場,出境,803,17,28,848
01-01-2021,高鐵西九龍,入境,0,0,0,0
01-01-2021,高鐵西九龍,出境,0,0,0,0
01-01-2021,紅磡,入境,0,0,0,0
01-01-2021,紅磡,出境,0,0,0,0
01-01-2021,羅湖,入境,0,0,0,0
01-01-2021,羅湖,出境,0,0,0,0
01-01-2021,落馬洲支線,入境,0,0,0,0
01-01-2021,落馬洲支線,出境,0,0,0,0
01-01-2021,香園圍,入境,0,0,0,0
01-01-2021,香園圍,出境,0,0,0,0
01-01-2021,港珠澳大橋,入境,45,2,0,47
01-01-2021,港珠澳大橋,出境,210,7,0,217
01-01-2021,落馬洲,入境,0,0,0,0
01-01-2021,落馬洲,出境,0,0,0,0
01-01-2021,文錦渡,入境,0,0,0,0
01-01-2021,文錦渡,出境,0,0,0,0
01-01-2021,沙頭角,入境,0,0,0,0
01-01-2021,沙頭角,出境,0,0,0,0
01-01-2021,深圳灣,入境,346,43,1,390
01-01-2021,深圳灣,出境,2433,221,4,2658
01-01-2021,中國客運碼頭,入境,0,0,0,0
01-01-2021,中國客運碼頭,出境,0,0,0,0
01-01-2021,港口管制,入境,0,0,0,0
01-01-2021,港口管制,出境,0,0,0,0
01-01-2021,啟德郵輪碼頭,入境,0,0,0,0
01-01-2021,啟德郵輪碼頭,出境,0,0,0,0
01-01-2021,港澳客輪碼頭,入境,0,0,0,0
01-01-2021,港澳客輪碼頭,出境,0,0,0,0
01-01-2021,屯門客運碼頭,入境,0,0,0,0
01-01-2021,屯門客運碼頭,出境,0,0,0,0
02-01-2021,機場,入境,363,10,10,383
02-01-2021,機場,出境,940,22,33,995
02-01-2021,高鐵西九龍,入境,0,0,0,0
02-01-2021,高鐵西九龍,出境,0,0,0,0
02-01-2021,紅磡,入境,0,0,0,0
02-01-2021,紅磡,出境,0,0,0,0
02-01-2021,羅湖,入境,0,0,0,0
02-01-2021,羅湖,出境,0,0,0,0
02-01-2021,落馬洲支線,入境,0,0,0,0
02-01-2021,落馬洲支線,出境,0,0,0,0
02-01-2021,香園圍,入境,0,0,0,0
02-01-2021,香園圍,出境,0,0,0,0
02-01-2021,港珠澳大橋,入境,37,1,0,38
02-01-2021,港珠澳大橋,出境,228,10,0,238
02-01-2021,落馬洲,入境,0,0,0,0
02-01-2021,落馬洲,出境,0,0,0,0
02-01-2021,文錦渡,入境,0,0,0,0
